詞條,定義,反義詞
后,君王的妻子中位階最高的。,過往
后,君王的妻子中位階最高的。,過往
后,君王的妻子中位階最高的。,以往
后,物體背面的位置。,前
后,物體背面的位置。,前
后,物體背面的位置。,前面
后,物體背面的位置。,前面
后,與參考物體面對的方向相反的方向。,前
后,與參考物體面對的方向相反的方向。,前面
后,與參考物體面對的方向相反的方向。,前方
后,與參考物體面對的方向相反的方向。,前面
后,與參考物體面對的方向相反的方向。,前
后,與參考物體面對的方向相反的方向。,前方
后,人造物約定俗成朝下或朝後最不容易觀察到的面。,前
后,人造物約定俗成朝下或朝後最不容易觀察到的面。,前面
后,人造物約定俗成朝下或朝後最不容易觀察到的面。,正
后,人造物約定俗成朝下或朝後最不容易觀察到的面。,前面
后,人造物約定俗成朝下或朝後最不容易觀察到的面。,前
后,人造物約定俗成朝下或朝後最不容易觀察到的面。,正
后,順序或次序緊鄰在參考點之後。,前
后,順序或次序緊鄰在參考點之後。,前面
后,順序或次序緊鄰在參考點之後。,前面
后,順序或次序緊鄰在參考點之後。,前
后,順序或次序排在整體的後半部。,前
后,順序或次序排在整體的後半部。,前面
后,順序或次序排在整體的後半部。,前面
后,順序或次序排在整體的後半部。,前
后,將有時間順序的事件分成兩部分，指在參考點之後的部分。,前
后,將有時間順序的事件分成兩部分，指在參考點之後的部分。,前面
后,將有時間順序的事件分成兩部分，指在參考點之後的部分。,前面
后,將有時間順序的事件分成兩部分，指在參考點之後的部分。,前
后,在列舉的對象中，次序在後的對象。,前
后,在列舉的對象中，次序在後的對象。,前面
后,在列舉的對象中，次序在後的對象。,前面
后,在列舉的對象中，次序在後的對象。,前
后,事物整體的後半部。,前
后,事物整體的後半部。,前面
后,事物整體的後半部。,前
后,事物整體的後半部。,前面
后,過去。,前
后,過去。,前面
后,過去。,前
后,過去。,前面
后,晚於特定參考時間點或事件。,前
后,晚於特定參考時間點或事件。,前面
后,晚於特定參考時間點或事件。,之前
后,晚於特定參考時間點或事件。,以前
后,晚於特定參考時間點或事件。,以上
后,晚於特定參考時間點或事件。,以前
后,晚於特定參考時間點或事件。,之前
后,晚於特定參考時間點或事件。,前
后,晚於特定參考時間點或事件。,前面
后,晚於特定參考時間點或事件。,以上
后,晚於現在或前述事件的時段。,前
后,晚於現在或前述事件的時段。,前面
后,晚於現在或前述事件的時段。,早
后,晚於現在或前述事件的時段。,過去
后,晚於現在或前述事件的時段。,過往
后,晚於現在或前述事件的時段。,早
后,晚於現在或前述事件的時段。,前
后,晚於現在或前述事件的時段。,前面
后,晚於現在或前述事件的時段。,過去
后,晚於現在或前述事件的時段。,過往
后,未來的時間。,前
后,未來的時間。,前面
后,未來的時間。,以前
后,未來的時間。,之前
后,未來的時間。,昨
后,未來的時間。,昨天
后,未來的時間。,昨日
后,未來的時間。,過去
后,未來的時間。,過往
后,未來的時間。,以往
后,未來的時間。,以前
后,未來的時間。,之前
后,未來的時間。,前
后,未來的時間。,前面
后,未來的時間。,昨天
后,未來的時間。,昨
后,未來的時間。,昨日
后,未來的時間。,過去
后,未來的時間。,過往
后,未來的時間。,以往
后,後述時期出現後的時期。,前
后,後述時期出現後的時期。,前
后,比喻實際狀況不容易看清，好像被表象所遮蓋的狀況。,前面
后,比喻實際狀況不容易看清，好像被表象所遮蓋的狀況。,前面
后,比喻在特定對象不在的場合。,前
后,比喻在特定對象不在的場合。,前面
后,比喻在特定對象不在的場合。,前
后,比喻在特定對象不在的場合。,前面
后者,代指並舉的兩種對象中次序在後的那一個。,前者
后者,代指並舉的兩種對象中次序在後的那一個。,前者
否,形容對特定對象的評價是負面的。,不錯
否,形容對特定對象的評價是負面的。,佳
否,形容對特定對象的評價是負面的。,良好
否,形容對特定對象的評價是負面的。,優
否,形容對特定對象的評價是負面的。,好
否,形容對特定對象的評價是負面的。,嘉
否,形容對特定對象的評價是負面的。,良
否,形容對特定對象的評價是負面的。,好
否,形容對特定對象的評價是負面的。,佳
否,形容對特定對象的評價是負面的。,良
否,形容對特定對象的評價是負面的。,不錯
否,形容對特定對象的評價是負面的。,良好
否,形容對特定對象的評價是負面的。,優
否,形容對特定對象的評價是負面的。,嘉
否認,做出後述事件不成立的陳述。,認
否認,做出後述事件不成立的陳述。,承認
否認,做出後述事件不成立的陳述。,承認
吱吱,指稱政治立場偏向綠營的鄉民。,蛆蛆
吱吱,指稱政治立場偏向綠營的鄉民。,藍蛆
吱吱,指稱政治立場偏向綠營的鄉民。,9.20%
吱吱,指稱政治立場偏向綠營的鄉民。,689
吱吱,指稱政治立場偏向綠營的鄉民。,蛆蛆
吱吱,指稱政治立場偏向綠營的鄉民。,藍蛆
吱吱,指稱政治立場偏向綠營的鄉民。,9.20%
吱吱,指稱政治立場偏向綠營的鄉民。,689
呆,形容智能較低或理解力較差的。,活
和,形容結束爭戰或對立的狀態。,戰
和,形容結束爭戰或對立的狀態。,作戰
和解,形容結束爭戰或對立的狀態。,戰
和解,形容結束爭戰或對立的狀態。,作戰
哥,同父或同母生的男子，先出生者。,弟弟
哥,同父或同母生的男子，先出生者。,弟
哥,同父或同母生的男子，先出生者。,仲
哥,同父或同母生的男子，先出生者。,弟弟
哥,同父或同母生的男子，先出生者。,弟
哥,同父或同母生的男子，先出生者。,仲
哥,對同父或同母所生並比自己先出生的男子的指稱。,弟弟
哥,對同父或同母所生並比自己先出生的男子的指稱。,弟
哥,對同父或同母所生並比自己先出生的男子的指稱。,仲
哥,對同父或同母所生並比自己先出生的男子的指稱。,弟弟
哥,對同父或同母所生並比自己先出生的男子的指稱。,弟
哥,對同父或同母所生並比自己先出生的男子的指稱。,仲
哥,同輩而年紀比自己大的男子。,弟弟
哥,同輩而年紀比自己大的男子。,弟
哥,同輩而年紀比自己大的男子。,弟弟
哥,同輩而年紀比自己大的男子。,弟
哥,稱呼男子的親暱用語。,姊姊
哥,稱呼男子的親暱用語。,姊
哥,稱呼男子的親暱用語。,姐
哥,稱呼男子的親暱用語。,姐
哥,稱呼男子的親暱用語。,姊
哥,稱呼男子的親暱用語。,姊姊
哥哥,同父或同母生的男子，先出生者。,弟弟
哥哥,同父或同母生的男子，先出生者。,弟
哥哥,同父或同母生的男子，先出生者。,仲
哥哥,同父或同母生的男子，先出生者。,弟弟
哥哥,同父或同母生的男子，先出生者。,弟
哥哥,同父或同母生的男子，先出生者。,仲
哥哥,對同父或同母所生並比自己先出生的男子的指稱。,弟弟
哥哥,對同父或同母所生並比自己先出生的男子的指稱。,弟
哥哥,對同父或同母所生並比自己先出生的男子的指稱。,仲
哥哥,對同父或同母所生並比自己先出生的男子的指稱。,弟弟
哥哥,對同父或同母所生並比自己先出生的男子的指稱。,弟
哥哥,對同父或同母所生並比自己先出生的男子的指稱。,仲
哥哥,同輩而年紀比自己大的男子。,弟弟
哥哥,同輩而年紀比自己大的男子。,弟
哥哥,同輩而年紀比自己大的男子。,弟弟
哥哥,同輩而年紀比自己大的男子。,弟
哥哥,稱呼男子的親暱用語。,姊姊
哥哥,稱呼男子的親暱用語。,姊
哥哥,稱呼男子的親暱用語。,姐
哥哥,稱呼男子的親暱用語。,姐
哥哥,稱呼男子的親暱用語。,姊姊
哥哥,稱呼男子的親暱用語。,姊
哭,形容嘴角下垂，臉上露出傷心的表情的。,笑
哭,形容嘴角下垂，臉上露出傷心的表情的。,笑
啟,移動封閉門窗的裝置物，使其空間的出入口不被封閉。,閉
啟,移動封閉門窗的裝置物，使其空間的出入口不被封閉。,關
啟,移動封閉門窗的裝置物，使其空間的出入口不被封閉。,關閉
啟,移動封閉門窗的裝置物，使其空間的出入口不被封閉。,關
啟,移動封閉門窗的裝置物，使其空間的出入口不被封閉。,閉
啟,移動封閉門窗的裝置物，使其空間的出入口不被封閉。,關閉
啟,通指物體可以緊密結合的兩個部件往相反方向運動。,閉
啟,通指物體可以緊密結合的兩個部件往相反方向運動。,閉
啟,利用開關裝置使機器運作。,閉
啟,利用開關裝置使機器運作。,閉
啟,事件或狀態從頭或特定時點開始。,結束
啟,事件或狀態從頭或特定時點開始。,終
啟,事件或狀態從頭或特定時點開始。,完
啟,事件或狀態從頭或特定時點開始。,閉
啟,事件或狀態從頭或特定時點開始。,結束
啟,事件或狀態從頭或特定時點開始。,終
啟,事件或狀態從頭或特定時點開始。,結束
啟,事件或狀態從頭或特定時點開始。,閉
啟,事件或狀態從頭或特定時點開始。,終
啟,事件或狀態從頭或特定時點開始。,完
善,形容具有慈愛、友善等正面特質的。,惡
善,形容具有慈愛、友善等正面特質的。,惡
善,對他人有正面幫助的行為。,惡
善,對他人有正面幫助的行為。,惡
單,表限定範圍。,不光
單,表限定範圍。,不只
單,表限定範圍。,不止
單,表限定範圍。,不祇
單,表限定範圍。,不僅
單,表限定範圍。,不僅僅
單,表限定範圍。,不止
單,表限定範圍。,不僅
單,表限定範圍。,不光
單,表限定範圍。,不僅僅
單,表限定範圍。,不只
單,表限定範圍。,不祇
單單,表限定範圍。,不光
單單,表限定範圍。,不只
單單,表限定範圍。,不止
單單,表限定範圍。,不祇
單單,表限定範圍。,不僅
單單,表限定範圍。,不僅僅
單單,表限定範圍。,不止
單單,表限定範圍。,不僅
單單,表限定範圍。,不光
單單,表限定範圍。,不僅僅
單單,表限定範圍。,不只
單單,表限定範圍。,不祇
單薄,形容音色微弱。,厚
單薄,形容音色微弱。,厚
嘉,形容對特定對象的評價是正面的。,壞
嘉,形容對特定對象的評價是正面的。,差
嘉,形容對特定對象的評價是正面的。,柴
嘉,形容對特定對象的評價是正面的。,否
嘉,形容對特定對象的評價是正面的。,劣
嘉,形容對特定對象的評價是正面的。,菜
嘉,形容對特定對象的評價是正面的。,糟
嘉,形容對特定對象的評價是正面的。,惡
嘉,形容對特定對象的評價是正面的。,不良
嘉,形容對特定對象的評價是正面的。,孬
嘉,形容對特定對象的評價是正面的。,遜
嘉,形容對特定對象的評價是正面的。,差
嘉,形容對特定對象的評價是正面的。,劣
嘉,形容對特定對象的評價是正面的。,差
嘉,形容對特定對象的評價是正面的。,柴
嘉,形容對特定對象的評價是正面的。,不良
嘉,形容對特定對象的評價是正面的。,孬
嘉,形容對特定對象的評價是正面的。,壞
嘉,形容對特定對象的評價是正面的。,否
嘉,形容對特定對象的評價是正面的。,劣
嘉,形容對特定對象的評價是正面的。,菜
嘉,形容對特定對象的評價是正面的。,糟
嘉,形容對特定對象的評價是正面的。,惡
嘉,形容對特定對象的評價是正面的。,遜
嘟,形容物體體積大而鼓起。,瘦
嘟,形容物體體積大而鼓起。,瘦
嚴,形容比喻沒有疏忽遺漏的。,鬆
嚴,形容比喻沒有疏忽遺漏的。,疏
嚴,形容比喻沒有疏忽遺漏的。,寬
嚴,形容比喻沒有疏忽遺漏的。,弛
嚴,形容比喻不輕易透露不該讓他人知道的事。,鬆
嚴,形容比喻不輕易透露不該讓他人知道的事。,鬆
嚴,對父親的尊稱。,慈
嚴,對父親的尊稱。,慈
嚴峻,形容前述狀態的程度高，通常為負面。,輕
嚴峻,形容前述狀態的程度高，通常為負面。,輕度
嚴峻,形容前述狀態的程度高，通常為負面。,淺
嚴峻,形容前述狀態的程度高，通常為負面。,輕度
嚴峻,形容前述狀態的程度高，通常為負面。,輕
嚴格,形容比喻沒有疏忽遺漏的。,寬
嚴格,形容比喻沒有疏忽遺漏的。,鬆
嚴格,形容比喻沒有疏忽遺漏的。,疏
嚴格,形容比喻沒有疏忽遺漏的。,弛
嚴格,形容比喻沒有疏忽遺漏的。,寬
嚴格,形容比喻沒有疏忽遺漏的。,鬆
嚴格,形容比喻沒有疏忽遺漏的。,疏
嚴格,形容比喻沒有疏忽遺漏的。,寬
嚴格,形容比喻沒有疏忽遺漏的。,弛
嚴重,形容前述狀態的程度高，通常為負面。,淺
嚴重,形容前述狀態的程度高，通常為負面。,輕度
嚴重,形容前述狀態的程度高，通常為負面。,輕
回去,比喻生物失去生命。,活
回去,比喻生物失去生命。,生存
回去,比喻生物失去生命。,生
回去,比喻生物失去生命。,存
回去,比喻生物失去生命。,昌
回去,比喻生物失去生命。,生存
回去,比喻生物失去生命。,生
回去,比喻生物失去生命。,生存
回去,比喻生物失去生命。,生
回去,比喻生物失去生命。,昌
回去,比喻生物失去生命。,活
回去,比喻生物失去生命。,存
因,造成特定結果或引起另一件事情發生的條件。,果
因,造成特定結果或引起另一件事情發生的條件。,結果
因,造成特定結果或引起另一件事情發生的條件。,果
因,造成特定結果或引起另一件事情發生的條件。,結果
因,在善惡循環的觀念下，造成未來事件發生的原因。,果
因,在善惡循環的觀念下，造成未來事件發生的原因。,果
困難,形容特定事件無法輕易達成。,容易
困難,形容特定事件無法輕易達成。,好
困難,形容特定事件無法輕易達成。,易
困難,形容後述事件發生的可能性小。,容易
困難,形容後述事件發生的可能性小。,易
困難,形容後述事件發生的可能性小。,容易
困難,形容後述事件發生的可能性小。,易
國內,在所指涉國家空間範圍內的區域。,異國
國內,在所指涉國家空間範圍內的區域。,異國
國內,在所指涉國家空間範圍內的區域。,洋
國內,在所指涉國家空間範圍內的區域。,國外
國內,在所指涉國家空間範圍內的區域。,國外
國內,在所指涉國家空間範圍內的區域。,外國
國內,在所指涉國家空間範圍內的區域。,外國
國內,形容說話者所屬的國家所出產的。,國外
國內,形容說話者所屬的國家所出產的。,進口
國內,形容說話者所屬的國家所出產的。,異國
國內,形容說話者所屬的國家所出產的。,洋
國內,形容說話者所屬的國家所出產的。,國外
國內,形容說話者所屬的國家所出產的。,進口
國內,形容說話者所屬的國家所出產的。,洋
國外,在所指涉國家空間範圍外的區域。,國內
國外,在所指涉國家空間範圍外的區域。,國內
國外,形容非說話者所屬的國家所出產的。,國內
國外,形容非說話者所屬的國家所出產的。,土
國外,形容非說話者所屬的國家所出產的。,國產
國外,形容非說話者所屬的國家所出產的。,國產
國外,形容非說話者所屬的國家所出產的。,國內
國外,形容非說話者所屬的國家所出產的。,土
國產,形容說話者所屬的國家所出產的。,國外
國產,形容說話者所屬的國家所出產的。,進口
國產,形容說話者所屬的國家所出產的。,洋
國產,形容說話者所屬的國家所出產的。,進口
國產,形容說話者所屬的國家所出產的。,洋
國產,形容說話者所屬的國家所出產的。,國外
土,本國。,洋
土,本國。,洋
土,形容比喻說話者所屬的國家所出產的。,洋
土,形容比喻說話者所屬的國家所出產的。,進口
土,形容比喻說話者所屬的國家所出產的。,國外
土,形容比喻說話者所屬的國家所出產的。,異國
土,形容比喻說話者所屬的國家所出產的。,洋
土,形容比喻說話者所屬的國家所出產的。,進口
土,形容比喻說話者所屬的國家所出產的。,國外
在乎,重視並且關心。,無所謂
在乎,重視並且關心。,無所謂
在意,重視並且關心。,無所謂
在意,重視並且關心。,無所謂
在野黨,未掌握政權，而與執政黨相抗衡的政黨。,執政黨
在野黨,未掌握政權，而與執政黨相抗衡的政黨。,執政黨
地下,形容比喻事件不在公開的情況下進行的。,明
地下,形容比喻事件不在公開的情況下進行的。,明
地方,中央政府以下的各級行政機構。,中央
地方,中央政府以下的各級行政機構。,中央
垢,形容有污垢雜質的。,清潔
垢,形容有污垢雜質的。,淨
垢,形容有污垢雜質的。,乾淨
垢,形容有污垢雜質的。,潔
垢,形容有污垢雜質的。,清潔
垢,形容有污垢雜質的。,乾淨
垢,形容有污垢雜質的。,清潔
垢,形容有污垢雜質的。,淨
垢,形容有污垢雜質的。,乾淨
垢,形容有污垢雜質的。,潔
垮,形容衣物與穿著者間不密合而有空隙的。,緊
垮,形容衣物與穿著者間不密合而有空隙的。,憋
垮,形容衣物與穿著者間不密合而有空隙的。,緊
垮,形容衣物與穿著者間不密合而有空隙的。,憋
執政黨,執掌政權的政黨。,在野黨
執政黨,執掌政權的政黨。,在野黨
塞,形容運氣不好。,有幸
塞,形容運氣不好。,賽
塞,形容運氣不好。,塞
塞,形容運氣不好。,屎
塞,形容運氣不好。,塞
塞,形容運氣不好。,賽
塞,形容運氣不好。,有幸
塞,形容運氣不好。,屎
塞,形容運氣好。,衰
塞,形容運氣好。,背
塞,形容運氣好。,不幸
塞,形容運氣好。,賽
塞,形容運氣好。,塞
塞,形容運氣好。,屎
塞,形容運氣好。,糞
塞,形容運氣好。,不幸
塞,形容運氣好。,糞
塞,形容運氣好。,衰
塞,形容運氣好。,塞
塞,形容運氣好。,賽
塞,形容運氣好。,背
塞,形容運氣好。,不幸
塞,形容運氣好。,屎
墊,因比重大於所在流體而往下降。,浮
墊,因比重大於所在流體而往下降。,浮
增長,形容長度增加。,縮短
增長,使長度增加。,縮短
增長,使長度增加。,縮短
增長,形容時間加長。,縮短
增長,使時間加長。,縮短
增長,使時間加長。,縮短
增長,形容文本從開始到結束的字數增加或篇幅加長。,縮短
增長,使文本從開始到結束的字數增加或篇幅加長。,縮短
增長,使文本從開始到結束的字數增加或篇幅加長。,縮短
增長,形容數量或數目增加。,下降
增長,形容數量或數目增加。,落
增長,形容數量或數目增加。,下降
增長,形容數量或數目增加。,掉
增長,形容數量或數目增加。,降
增長,形容數量或數目增加。,跌
增長,形容數量或數目增加。,降低
增長,形容數量或數目增加。,降低
增高,形容數量或數目增加。,下降
增高,形容數量或數目增加。,下降
增高,形容數量或數目增加。,落
增高,形容數量或數目增加。,掉
增高,形容數量或數目增加。,降
增高,形容數量或數目增加。,跌
增高,形容數量或數目增加。,降低
增高,形容數量或數目增加。,降低
墨,形容在競爭中被打敗。,贏
墨,形容在競爭中被打敗。,勝
墨,形容在競爭中被打敗。,克
墨,形容在競爭中被打敗。,取勝
墨,形容在競爭中被打敗。,敗
墨,形容在競爭中被打敗。,捷
墨,形容在競爭中被打敗。,勝
墨,形容在競爭中被打敗。,取勝
墨,形容在競爭中被打敗。,克
墨,形容在競爭中被打敗。,贏
墨,形容在競爭中被打敗。,勝
墨,形容在競爭中被打敗。,取勝
墨,形容在競爭中被打敗。,敗
墨,形容在競爭中被打敗。,捷
墨,形容比喻指數下跌。,紅
壞,形容對特定對象的評價是負面的。,好
壞,形容對特定對象的評價是負面的。,佳
壞,形容對特定對象的評價是負面的。,良好
壞,形容對特定對象的評價是負面的。,不錯
壞,形容對特定對象的評價是負面的。,優
壞,形容對特定對象的評價是負面的。,嘉
壞,形容對特定對象的評價是負面的。,良
壞,形容對特定對象的評價是負面的。,好
壞,形容對特定對象的評價是負面的。,佳
壞,形容對特定對象的評價是負面的。,良
壞,形容對特定對象的評價是負面的。,良好
壞,形容對特定對象的評價是負面的。,不錯
壞,形容對特定對象的評價是負面的。,優
壞,形容對特定對象的評價是負面的。,嘉
壞,形容態度惡劣的。,好
壞,形容態度惡劣的。,好
壞,形容身體不舒服。,舒服
壞,形容身體不舒服。,適
壞,形容身體不舒服。,舒適
壞,形容身體不舒服。,舒服
壞,形容身體不舒服。,舒適
壞,形容身體不舒服。,舒適
壞,形容身體不舒服。,舒服
壞,形容身體不舒服。,適
壞,形容關係不親近的。,好
壞,形容關係不親近的。,密
壞,形容關係不親近的。,密切
壞,形容關係不親近的。,好
壞,形容關係不親近的。,密
壞,形容關係不親近的。,密切
壹,事物的全體。,部分
壹,事物的全體。,部份
壹,事物的全體。,部分
壹,事物的全體。,部份
夏娃,代指女子。,亞當
夏娃,代指女子。,亞當
夕,太陽下山後到太陽出來前的時間。,早
夕,太陽下山後到太陽出來前的時間。,朝
夕,太陽下山後到太陽出來前的時間。,早
夕,太陽下山後到太陽出來前的時間。,朝
外,不在前述對象所包含的空間範圍。,內
外,不在前述對象所包含的空間範圍。,以內
外,不在前述對象所包含的空間範圍。,之內
外,不在前述對象所包含的空間範圍。,裡
外,不在前述對象所包含的空間範圍。,裏
外,不在前述對象所包含的空間範圍。,中
外,不在前述對象所包含的空間範圍。,內部
外,不在前述對象所包含的空間範圍。,裡面
外,不在前述對象所包含的空間範圍。,裡頭
外,不在前述對象所包含的空間範圍。,裏
外,不在前述對象所包含的空間範圍。,際
外,不在前述對象所包含的空間範圍。,以內
外,不在前述對象所包含的空間範圍。,中
外,不在前述對象所包含的空間範圍。,之內
外,不在前述對象所包含的空間範圍。,內
外,不在前述對象所包含的空間範圍。,裡
外,不在前述對象所包含的空間範圍。,裏
外,不在前述對象所包含的空間範圍。,內部
外,不在前述對象所包含的空間範圍。,裡面
外,不在前述對象所包含的空間範圍。,際
外,不在前述對象所包含的空間範圍。,裡頭
外,不在前述的機構或領域範圍。,內
外,不在前述的機構或領域範圍。,以內
外,不在前述的機構或領域範圍。,之內
外,不在前述的機構或領域範圍。,裏
外,不在前述的機構或領域範圍。,裡
外,不在前述的機構或領域範圍。,中
外,不在前述的機構或領域範圍。,內部
外,不在前述的機構或領域範圍。,裡面
外,不在前述的機構或領域範圍。,裡頭
外,不在前述的機構或領域範圍。,裏
外,不在前述的機構或領域範圍。,以內
外,不在前述的機構或領域範圍。,中
外,不在前述的機構或領域範圍。,之內
外,不在前述的機構或領域範圍。,內
外,不在前述的機構或領域範圍。,裡
外,不在前述的機構或領域範圍。,裏
外,不在前述的機構或領域範圍。,內部
外,不在前述的機構或領域範圍。,裡面
外,不在前述的機構或領域範圍。,裡頭
外,遠離參考點中心。,內
外,遠離參考點中心。,內
外,外國。,內
外,外國。,內
外,工作或事業。,內
外,工作或事業。,內
外面,事物外部屬於表面的範圍。,裡
外面,事物外部屬於表面的範圍。,裡面
外面,事物外部屬於表面的範圍。,裏
外面,事物外部屬於表面的範圍。,裡頭
外面,事物外部屬於表面的範圍。,裡面
外面,事物外部屬於表面的範圍。,裡頭
外面,事物外部屬於表面的範圍。,裡
外面,事物外部屬於表面的範圍。,裏
外面,不在前述對象所包含的空間範圍。,內
外面,不在前述對象所包含的空間範圍。,之內
外面,不在前述對象所包含的空間範圍。,以內
外面,不在前述對象所包含的空間範圍。,裡
外面,不在前述對象所包含的空間範圍。,裏
外面,不在前述對象所包含的空間範圍。,裡面
外面,不在前述對象所包含的空間範圍。,中
外面,不在前述對象所包含的空間範圍。,內部
外面,不在前述對象所包含的空間範圍。,裡頭
外面,不在前述對象所包含的空間範圍。,裏
外面,不在前述對象所包含的空間範圍。,際
外面,不在前述對象所包含的空間範圍。,中
外面,不在前述對象所包含的空間範圍。,內
外面,不在前述對象所包含的空間範圍。,以內
外面,不在前述對象所包含的空間範圍。,之內
外面,不在前述對象所包含的空間範圍。,裡面
外面,不在前述對象所包含的空間範圍。,際
外面,不在前述對象所包含的空間範圍。,裡頭
外面,不在前述對象所包含的空間範圍。,裡
外面,不在前述對象所包含的空間範圍。,內部
外面,不在前述對象所包含的空間範圍。,裏
外面,不在前述的機構或領域範圍。,裡
外面,不在前述的機構或領域範圍。,裏
外面,不在前述的機構或領域範圍。,裡面
外面,不在前述的機構或領域範圍。,內
外面,不在前述的機構或領域範圍。,之內
外面,不在前述的機構或領域範圍。,以內
外面,不在前述的機構或領域範圍。,中
外面,不在前述的機構或領域範圍。,內部
外面,不在前述的機構或領域範圍。,裡頭
外面,不在前述的機構或領域範圍。,裏
外面,不在前述的機構或領域範圍。,中
外面,不在前述的機構或領域範圍。,內
外面,不在前述的機構或領域範圍。,以內
外面,不在前述的機構或領域範圍。,之內
外面,不在前述的機構或領域範圍。,裡面
外面,不在前述的機構或領域範圍。,裡頭
外面,不在前述的機構或領域範圍。,裡
外面,不在前述的機構或領域範圍。,內部
外面,不在前述的機構或領域範圍。,裏
外面,形容比預期中的位置更往外的。,裡面
外面,形容比預期中的位置更往外的。,進去
外面,形容比預期中的位置更往外的。,裡面
外面,形容比預期中的位置更往外的。,進去
多,形容數量大或種類多。,少
多,形容數量大或種類多。,少
多,表事件發生的頻率很高。,少
多,表事件發生的頻率很高。,少
夜,太陽下山後到太陽出來前的時間。,早
夜,太陽下山後到太陽出來前的時間。,朝
夜,太陽下山後到太陽出來前的時間。,早
夜,太陽下山後到太陽出來前的時間。,朝
夜,太陽下山後到太陽出來前的時間。,晝
夜,太陽下山後到太陽出來前的時間。,白天
夜,形容發生在天黑之後的。,早
夜,形容發生在天黑之後的。,早
夜,姓。,晝
夜,姓。,白天
夜晚,太陽下山後到太陽出來前的時間。,早
夜晚,太陽下山後到太陽出來前的時間。,朝
夜晚,太陽下山後到太陽出來前的時間。,早
夜晚,太陽下山後到太陽出來前的時間。,朝
大,形容體積超過比較對象的。,小
大,形容體積超過比較對象的。,小
大,形容容量超過比較對象的。,小
大,形容容量超過比較對象的。,小
大,形容數目或數量超過比較對象的。,小
大,形容數目或數量超過比較對象的。,小
大,形容程度超過比較對象的。,小
大,形容程度超過比較對象的。,小
大,身心發育成熟的人。,小
大,身心發育成熟的人。,小
大,形容年紀大的。,少
大,形容年紀大的。,小
大,形容年紀大的。,少
大,形容年紀大的。,小
大,形容年紀比特定對象大。,小
大,形容年紀比特定對象大。,小
大,社會地位比較高。,小
大,社會地位比較高。,小
大,形容同輩社會關係排行第一的。,小
大,形容同輩社會關係排行第一的。,小
大,形容將特定對象的格局擴展，或地位提升。,小
大,形容將特定對象的格局擴展，或地位提升。,小
大,形容尊稱事物與特定對象有關係的。,小
大,形容尊稱事物與特定對象有關係的。,小
大,形容尊稱後述身份或機構。,小
大,形容尊稱後述身份或機構。,小
大,表做後述事件的程度非常高。,小
大,表做後述事件的程度非常高。,小
大,在眾多名配偶或情人中，名義上排第一的。,小
大,在眾多名配偶或情人中，名義上排第一的。,小
大,表對年紀較長的人的暱稱。,小
大,表對年紀較長的人的暱稱。,小
大人,身心發育成熟的人。,小
大人,身心發育成熟的人。,小
大大,表做後述事件的程度非常高。,小
大大,表做後述事件的程度非常高。,小
大幅,形容事物改變的程度很大。,狹幅
大幅,形容事物改變的程度很大。,狹幅
大幅度,形容事物改變的程度很大。,狹幅
大幅度,形容事物改變的程度很大。,狹幅
大我,代指群體。,小我
大我,代指群體。,小我
大量,形容度量大，能容忍。,狹隘
大量,形容度量大，能容忍。,狹
太太,對男子在婚姻關係中的配偶的指稱。,丈夫
太太,對男子在婚姻關係中的配偶的指稱。,先生
太太,對男子在婚姻關係中的配偶的指稱。,夫
太太,對男子在婚姻關係中的配偶的指稱。,婿
太太,對男子在婚姻關係中的配偶的指稱。,夫
太太,對男子在婚姻關係中的配偶的指稱。,丈夫
太太,對男子在婚姻關係中的配偶的指稱。,先生
太太,對男子在婚姻關係中的配偶的指稱。,婿
太太,男子在婚姻關係中的配偶。,丈夫
太太,男子在婚姻關係中的配偶。,先生
太太,男子在婚姻關係中的配偶。,夫
太太,男子在婚姻關係中的配偶。,夫
太太,男子在婚姻關係中的配偶。,丈夫
太太,男子在婚姻關係中的配偶。,先生
夫,成年男子。,女人
夫,成年男子。,婦
夫,成年男子。,女人
夫,成年男子。,婦
夫,對女子在婚姻關係中的配偶的指稱。,妻子
夫,對女子在婚姻關係中的配偶的指稱。,太太
夫,對女子在婚姻關係中的配偶的指稱。,房
夫,對女子在婚姻關係中的配偶的指稱。,婦
夫,對女子在婚姻關係中的配偶的指稱。,妻
夫,對女子在婚姻關係中的配偶的指稱。,室
夫,對女子在婚姻關係中的配偶的指稱。,室
夫,對女子在婚姻關係中的配偶的指稱。,太太
夫,對女子在婚姻關係中的配偶的指稱。,房
夫,對女子在婚姻關係中的配偶的指稱。,婦
夫,對女子在婚姻關係中的配偶的指稱。,妻
夫,對女子在婚姻關係中的配偶的指稱。,妻子
夫,從事前述勞動工作的男子。,婦
夫,從事前述勞動工作的男子。,婦
夫,女子在婚姻關係中的配偶。,太太
夫,女子在婚姻關係中的配偶。,妻子
夫,女子在婚姻關係中的配偶。,妻
夫,女子在婚姻關係中的配偶。,太太
夫,女子在婚姻關係中的配偶。,妻子
夫,女子在婚姻關係中的配偶。,妻
失,形容在競爭中被打敗。,贏
失,形容在競爭中被打敗。,勝
失,形容在競爭中被打敗。,克
失,形容在競爭中被打敗。,取勝
失,形容在競爭中被打敗。,敗
失,形容在競爭中被打敗。,捷
失,形容在競爭中被打敗。,勝
失,形容在競爭中被打敗。,取勝
失,形容在競爭中被打敗。,克
